Test ID,No Source Req'd,Category,Metric,Test Scenario,Acceptance Criteria,Steps to Execute,Expected Result,Pass/Fail,Notes,Tester,Date
SOP-FUN-02,✓,Functionality,AI POA&M Generation,AI generates POA&M entries for failed findings,One click produces POA&M entries with milestones due dates and responsible parties,"1. Run assessment with failures; 2. Open POA&M Tracker; 3. Click AI Generate POA&M",POA&M entries generated,,,,
SOP-FUN-03,✓,Functionality,AI Risk Acceptance,AI drafts risk acceptance justification,AI produces operational justification compensating controls and residual risk assessment,"1. Open Risk Acceptance; 2. Select finding; 3. Click AI Draft Justification",Justification generated,,,,
SOP-FUN-04,✓,Functionality,AI Evidence Analysis,AI analyzes evidence sufficiency,Per-artifact analysis returns Sufficient/Partial/Insufficient with recommendations,"1. Upload evidence; 2. Run Analyze Sufficiency; 3. Review output",Evidence analysis works,,,,
SOP-FUN-05,✓,Functionality,AI Control Inheritance,AI classifies control inheritance,One click classifies controls as Inherited/Common/System-Specific with rationale,"1. Open Control Inheritance; 2. Click AI Classify All; 3. Review classifications",Inheritance classified,,,,
SOP-FUN-06,✓,Functionality,AI STIG Mapping,AI maps STIG findings to SOPRA controls,Imported STIG results map to controls with confidence scores,"1. Import STIG/CIS results; 2. Run AI Map; 3. Verify mappings",STIG mapping works,,,,
SOP-FUN-07,✓,Functionality,AI Incident Correlation,AI suggests related controls for incidents,Incident description yields control correlations with relevance scores,"1. Log incident; 2. Run AI Suggest Related; 3. Review suggestions",Correlation suggestions provided,,,,
SOP-FUN-08,✓,Functionality,Continuous Monitoring,ConMon dashboard displays assessment timeline and advisories,ConMon shows threat level timeline and category advisories,"1. Open Continuous Monitoring; 2. Run assessment; 3. View ConMon",ConMon displays correctly,,,,
SOP-PERF-01,✓,Performance,Assessment Speed,200-control assessment completes in reasonable time,Assessment completes in under 5 minutes for demo/import scenarios,"1. Run assessment; 2. Record completion time",Completes in <5 min (or documented SLA),,,,
SOP-PERF-02,✓,Performance,AI Response Time,AI features respond within acceptable time,AI generation completes within 60 seconds per operation,"1. Trigger AI POA&M generate; 2. Trigger AI Risk draft; 3. Measure response time",AI response acceptable,,,,
SOP-PERF-03,✓,Performance,Page Load,Navigation and page loads responsive,Page transitions under 5 seconds; no prolonged blank screens,"1. Navigate between 5 pages; 2. Note load times",Responsive navigation,,,,
SOP-COMP-01,✓,Compliance,Audit Readiness,Output suitable for ATO package,POA&M Risk Acceptance SSP and Approval workflows produce audit-ready artifacts,"1. Generate POA&M Risk Acceptance SSP; 2. Review against ATO checklist",Output audit-ready,,,,
SOP-COMP-02,✓,Compliance,Data Residency,AI sends only aggregate data no PII or raw evidence,Verifiable that only assessment metadata sent to Bedrock; no evidence uploads to cloud,"1. Use browser DevTools Network tab to inspect outbound requests during AI operations; 2. Confirm only aggregate metadata sent to Bedrock (no raw evidence or PII)",Data minimization verified,,,,
